id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,gender,color,size,pattern,google_product_category,default_product,variant
303/5000_1693,"EQ-MagMix (MAGNESIUM & PHOSPHORUS)","Vikt: 5 kg",https://nordicfeedhorseline.se/wp-content/uploads/2023/07/EQ-MAGMIX-5-kg.jpg,https://nordicfeedhorseline.se/produkt/eq-magmix/?attribute_pa_vikt=5-kg-en,,"Nordic Feed Horseline",775SEK,in stock,303_1691,,"https://nordicfeedhorseline.se/wp-content/uploads/2023/07/EQ-MAGMIX-15-kg.jpg,https://nordicfeedhorseline.se/wp-content/uploads/2023/07/EQ-MAGMIX.jpg",,0,new,hidden,,,,,,,"vikt:15kg-en/5-kg-en:5 kg"
303/1500_1692,"EQ-MagMix (MAGNESIUM & PHOSPHORUS)","Vikt: 1,5kg",https://nordicfeedhorseline.se/wp-content/uploads/2023/07/EQ-MAGMIX-15-kg.jpg,https://nordicfeedhorseline.se/produkt/eq-magmix/?attribute_pa_vikt=15kg-en,,"Nordic Feed Horseline",240SEK,in stock,303_1691,,"https://nordicfeedhorseline.se/wp-content/uploads/2023/07/EQ-MAGMIX.jpg",,0,new,hidden,,,,,,,"vikt:15kg-en/5-kg-en:1,5kg"
303/5000_1162,"EQ-MagMix (MAGNESIUM & FOSFOR)","Jämförpris 155 kr/kg",https://nordicfeedhorseline.se/wp-content/uploads/2023/07/EQ-MAGMIX-5-kg.jpg,https://nordicfeedhorseline.se/produkt/eq-magmix/?attribute_pa_vikt=5-kg,,"Nordic Feed Horseline",775SEK,in stock,303_1159,,"https://nordicfeedhorseline.se/wp-content/uploads/2023/07/EQ-MAGMIX-15-kg.jpg,https://nordicfeedhorseline.se/wp-content/uploads/2023/07/EQ-MAGMIX.jpg",,0,new,published,,,,,,,"vikt:1,5kg/5 kg:5 kg"
303/1500_1161,"EQ-MagMix (MAGNESIUM & FOSFOR)","Jämförpris 160 kr/kg",https://nordicfeedhorseline.se/wp-content/uploads/2023/07/EQ-MAGMIX-15-kg.jpg,https://nordicfeedhorseline.se/produkt/eq-magmix/?attribute_pa_vikt=15kg,,"Nordic Feed Horseline",240SEK,in stock,303_1159,,"https://nordicfeedhorseline.se/wp-content/uploads/2023/07/EQ-MAGMIX.jpg",,0,new,published,,,,,,,"vikt:1,5kg/5 kg:1,5kg"
302/5000_1696,"EQ-Mag (magnesium)","Vikt: 5 kg",https://nordicfeedhorseline.se/wp-content/uploads/2023/07/EQ-MAG-5-kg.jpg,https://nordicfeedhorseline.se/produkt/eq-mag/?attribute_pa_vikt=5-kg-en,,"Nordic Feed Horseline",550SEK,in stock,302_1694,,"https://nordicfeedhorseline.se/wp-content/uploads/2023/07/EQ-MAG-15-kg.jpg,https://nordicfeedhorseline.se/wp-content/uploads/2023/07/EQ-MAG.jpg",,0,new,hidden,,,,,,,"vikt:15kg-en/5-kg-en:5 kg"
302/1500_1695,"EQ-Mag (magnesium)","Vikt: 1,5kg",https://nordicfeedhorseline.se/wp-content/uploads/2023/07/EQ-MAG-15-kg.jpg,https://nordicfeedhorseline.se/produkt/eq-mag/?attribute_pa_vikt=15kg-en,,"Nordic Feed Horseline",179SEK,in stock,302_1694,,"https://nordicfeedhorseline.se/wp-content/uploads/2023/07/EQ-MAG.jpg",,0,new,hidden,,,,,,,"vikt:15kg-en/5-kg-en:1,5kg"
302/5000_1158,"EQ-Mag (Magnesium)","Jämförpris 110 kr/kg",https://nordicfeedhorseline.se/wp-content/uploads/2023/07/EQ-MAG-5-kg.jpg,https://nordicfeedhorseline.se/produkt/eq-mag/?attribute_pa_vikt=5-kg,,"Nordic Feed Horseline",550SEK,in stock,302_1155,,"https://nordicfeedhorseline.se/wp-content/uploads/2023/07/EQ-MAG-15-kg.jpg,https://nordicfeedhorseline.se/wp-content/uploads/2023/07/EQ-MAG.jpg",,0,new,published,,,,,,,"vikt:1,5kg/5 kg:5 kg"
302/1500_1157,"EQ-Mag (Magnesium)","Jämförpris 119,33 kr/kg",https://nordicfeedhorseline.se/wp-content/uploads/2023/07/EQ-MAG-15-kg.jpg,https://nordicfeedhorseline.se/produkt/eq-mag/?attribute_pa_vikt=15kg,,"Nordic Feed Horseline",179SEK,in stock,302_1155,,"https://nordicfeedhorseline.se/wp-content/uploads/2023/07/EQ-MAG.jpg",,0,new,published,,,,,,,"vikt:1,5kg/5 kg:1,5kg"
300/1500_1651,"EQ-MSM (Methylsulfonylmethane)","Vikt: 1,5kg",https://nordicfeedhorseline.se/wp-content/uploads/2023/07/EQ-MSM-15-kg.jpg,https://nordicfeedhorseline.se/produkt/msm/?attribute_pa_vikt=15kg-en,,"Nordic Feed Horseline",510SEK,in stock,300_1649,,"https://nordicfeedhorseline.se/wp-content/uploads/2023/07/EQ-MSM.jpg",,0,new,hidden,,,,,,,"vikt:750g-en/15kg-en:1,5kg"
300/750_1650,"EQ-MSM (Methylsulfonylmethane)","Vikt: 750g",https://nordicfeedhorseline.se/wp-content/uploads/2023/07/EQ-MSM-750-g.jpg,https://nordicfeedhorseline.se/produkt/msm/?attribute_pa_vikt=750g-en,,"Nordic Feed Horseline",259SEK,in stock,300_1649,,"https://nordicfeedhorseline.se/wp-content/uploads/2023/07/EQ-MSM-15-kg.jpg,https://nordicfeedhorseline.se/wp-content/uploads/2023/07/EQ-MSM.jpg",,0,new,hidden,,,,,,,"vikt:750g-en/15kg-en:750g"
300/1500_1145,"EQ-MSM (Metylsulfonylmetan)","Jämförpris 340 kr/kg",https://nordicfeedhorseline.se/wp-content/uploads/2023/07/EQ-MSM-15-kg.jpg,https://nordicfeedhorseline.se/produkt/msm/?attribute_pa_vikt=15kg,,"Nordic Feed Horseline",510SEK,in stock,300_1120,,"https://nordicfeedhorseline.se/wp-content/uploads/2023/07/EQ-MSM.jpg",,0,new,published,,,,,,,"vikt:750g/1,5kg:1,5kg"
300/750_1144,"EQ-MSM (Metylsulfonylmetan)","Jämförpris 345,33 kr/kg",https://nordicfeedhorseline.se/wp-content/uploads/2023/07/EQ-MSM-750-g.jpg,https://nordicfeedhorseline.se/produkt/msm/?attribute_pa_vikt=750g,,"Nordic Feed Horseline",259SEK,in stock,300_1120,,"https://nordicfeedhorseline.se/wp-content/uploads/2023/07/EQ-MSM-15-kg.jpg,https://nordicfeedhorseline.se/wp-content/uploads/2023/07/EQ-MSM.jpg",,0,new,published,,,,,,,"vikt:750g/1,5kg:750g"
307/1500_1699,"EQ-GLUC (glucosamine)","Vikt: 1,5kg",https://nordicfeedhorseline.se/wp-content/uploads/2023/07/EQ-GLUC-15-kg.jpg,https://nordicfeedhorseline.se/produkt/glukosamin/?attribute_pa_vikt=15kg-en,,"Nordic Feed Horseline",589SEK,in stock,307_1697,,"https://nordicfeedhorseline.se/wp-content/uploads/2023/07/EQ-GLUC.jpg",,0,new,hidden,,,,,,,"vikt:750g-en/15kg-en:1,5kg"
307/1500_1132,"EQ-GLUC (Glukosamin)","Jämförpris 392,66 kr/kg",https://nordicfeedhorseline.se/wp-content/uploads/2023/07/EQ-GLUC-15-kg.jpg,https://nordicfeedhorseline.se/produkt/glukosamin/?attribute_pa_vikt=15kg,,"Nordic Feed Horseline",589SEK,in stock,307_1130,,"https://nordicfeedhorseline.se/wp-content/uploads/2023/07/EQ-GLUC.jpg",,0,new,published,,,,,,,"vikt:750g/1,5kg:1,5kg"
307/750_1698,"EQ-GLUC (glucosamine)","Vikt: 750g",https://nordicfeedhorseline.se/wp-content/uploads/2023/07/EQ-Gluc-750g.jpg,https://nordicfeedhorseline.se/produkt/glukosamin/?attribute_pa_vikt=750g-en,,"Nordic Feed Horseline",299SEK,in stock,307_1697,,"https://nordicfeedhorseline.se/wp-content/uploads/2023/07/EQ-GLUC-15-kg.jpg,https://nordicfeedhorseline.se/wp-content/uploads/2023/07/EQ-GLUC.jpg",,0,new,hidden,,,,,,,"vikt:750g-en/15kg-en:750g"
307/750_1131,"EQ-GLUC (Glukosamin)","Jämförpris 398,66 kr/kg",https://nordicfeedhorseline.se/wp-content/uploads/2023/07/EQ-Gluc-750g.jpg,https://nordicfeedhorseline.se/produkt/glukosamin/?attribute_pa_vikt=750g,,"Nordic Feed Horseline",299SEK,in stock,307_1130,,"https://nordicfeedhorseline.se/wp-content/uploads/2023/07/EQ-GLUC-15-kg.jpg,https://nordicfeedhorseline.se/wp-content/uploads/2023/07/EQ-GLUC.jpg",,0,new,published,,,,,,,"vikt:750g/1,5kg:750g"
